,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%)
370,7000000,"['Crime', 'Drama', 'Thriller']",275,tt0116282,13.710999999999999,1996-03-08,60611975,98.0,Fargo,7.9,4406,53611975.0,765.8853571428572
375,29000000,"['Romance', 'Drama']",11036,tt0332280,16.070999999999998,2004-06-25,115603229,123.0,The Notebook,7.9,7012,86603229.0,298.631824137931
376,13500000,"['Drama', 'Romance', 'Crime', 'Mystery']",152742,tt1924396,11.409,2013-01-01,19255873,124.0,The Best Offer,7.9,1711,5755873.0,42.636096296296294
378,12000000,"['Comedy', 'Drama', 'Romance', 'Fantasy']",122906,tt2194499,15.142000000000001,2013-08-16,87100449,123.0,About Time,7.9,4643,75100449.0,625.837075
379,590235,"['Animation', 'Comedy', 'Drama']",24238,tt0978762,10.538,2009-02-09,1725381,92.0,Mary and Max,7.9,1086,1135146.0,192.32102467661184
385,60000000,"['Action', 'Crime', 'Drama', 'Thriller']",949,tt0113277,16.254,1995-12-15,187436818,170.0,Heat,7.8,3692,127436818.0,212.39469666666668
386,125000000,"['Adventure', 'Fantasy', 'Family']",671,tt0241527,43.288000000000004,2001-11-16,976475550,152.0,Harry Potter and the Philosopher's Stone,7.8,15741,851475550.0,681.18044
387,30000000,"['Action', 'Crime', 'Thriller']",393,tt0378194,17.257,2004-04-16,152159461,136.0,Kill Bill: Vol. 2,7.8,8691,122159461.0,407.19820333333337
389,2000000,['Drama'],990,tt0054997,8.829,1961-09-25,7600000,134.0,The Hustler,7.8,494,5600000.0,280.0
391,2100000,"['Drama', 'History', 'Romance']",887,tt0036868,7.79,1946-12-25,23650000,172.0,The Best Years of Our Lives,7.8,288,21550000.0,1026.1904761904764
394,15000000,"['Adventure', 'Drama']",5915,tt0758758,14.062000000000001,2007-09-11,56255142,148.0,Into the Wild,7.8,6400,41255142.0,275.03427999999997
395,60000000,"['Drama', 'Romance']",453,tt0268978,18.707,2001-12-11,313542341,135.0,A Beautiful Mind,7.8,6209,253542341.0,422.57056833333337
398,6500000,['Drama'],925,tt0097216,8.521,1989-06-14,37295445,120.0,Do the Right Thing,7.8,743,30795445.0,473.77607692307697
399,12500000,"['War', 'Drama']",14574,tt0914798,12.752,2008-05-07,20416563,94.0,The Boy in the Striped Pyjamas,7.8,4072,7916563.0,63.332504
400,20000000,"['Drama', 'Thriller', 'History']",314365,tt1895587,12.729000000000001,2015-11-06,88346473,129.0,Spotlight,7.8,5495,68346473.0,341.732365
401,375000,"['Mystery', 'Crime', 'Thriller']",963,tt0033870,12.633,1941-10-18,1772000,101.0,The Maltese Falcon,7.8,857,1397000.0,372.53333333333336
403,1800000,['Drama'],702,tt0044081,8.951,1951-09-18,8000000,125.0,A Streetcar Named Desire,7.8,675,6200000.0,344.44444444444446
404,22000000,"['Adventure', 'Drama', 'Western']",581,tt0099348,22.638,1990-11-09,424208848,181.0,Dances with Wolves,7.8,2298,402208848.0,1828.2220363636363
405,70000000,"['Adventure', 'Animation', 'Family', 'Science Fiction', 'Comedy']",10386,tt0129167,10.725999999999999,1999-08-06,23159305,86.0,The Iron Giant,7.8,3202,-46840695.0,-66.91527857142857
406,15000000,"['Thriller', 'Drama', 'Mystery']",1018,tt0166924,15.636,2001-09-08,20117339,147.0,Mulholland Drive,7.8,3386,5117339.0,34.11559333333333
407,400000,"['Adventure', 'Comedy', 'Fantasy']",762,tt0071853,22.983,1975-05-25,5028948,91.0,Monty Python and the Holy Grail,7.8,3462,4628948.0,1157.2369999999999
408,30000000,"['Crime', 'Thriller']",6075,tt0106519,13.575,1993-11-10,36516012,144.0,Carlito's Way,7.8,1680,6516012.0,21.720039999999997
409,4000000,"['Comedy', 'Drama', 'Romance']",703,tt0075686,13.245,1977-04-19,38251425,93.0,Annie Hall,7.8,2314,34251425.0,856.285625
410,6000000,"['Fantasy', 'Drama', 'Mystery']",141,tt0246578,20.666,2001-01-18,1270522,114.0,Donnie Darko,7.8,7688,-4729478.0,-78.82463333333334
