,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
3934,19000000,"['Drama', 'Crime', 'Thriller']",7442,tt0102945,8.307,1991-01-13,174999005,99.0,Sleeping with the Enemy,6.4,530
3935,46000000,"['Drama', 'Thriller', 'Mystery', 'War']",10684,tt0115956,8.634,1996-07-04,100860818,117.0,Courage Under Fire,6.4,436
3936,20000000,"['Drama', 'Mystery']",9777,tt0377107,9.703,2005-09-05,7535331,100.0,Proof,6.4,389
3937,125000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",435,tt0319262,10.917,2004-05-26,544272402,124.0,The Day After Tomorrow,6.4,4896
3938,0,"['Drama', 'Romance', 'Comedy']",81025,tt1441952,6.701,2012-03-09,34564651,107.0,Salmon Fishing in the Yemen,6.4,550
3939,130000000,"['Science Fiction', 'Adventure', 'Mystery']",70981,tt1446714,23.556,2012-05-30,403170142,124.0,Prometheus,6.4,8045
3940,25000000,"['Action', 'Comedy', 'War']",9255,tt0107144,13.164,1993-05-21,133752825,86.0,Hot Shots! Part Deux,6.4,934
3941,4798235,"['Horror', 'Thriller']",77949,tt1687901,8.531,2011-08-17,209696,107.0,The Awakening,6.4,885
3942,0,"['Drama', 'Adventure', 'Romance', 'TV Movie']",115290,tt2287663,13.896,2012-06-16,0,85.0,Blue Lagoon: The Awakening,6.4,873
3943,50000000,['Thriller'],2251,tt0250797,13.616,2002-05-10,119137784,124.0,Unfaithful,6.4,647
3944,0,"['Action', 'Comedy']",10074,tt0787475,7.542,2007-08-03,14334401,88.0,Hot Rod,6.4,532
3945,0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665,tt0114168,12.103,1995-10-27,0,111.0,Powder,6.4,261
3946,0,['Comedy'],142320,tt2508478,5.875,2012-10-25,0,100.0,Viva l'Italia,6.4,216
3947,0,['Comedy'],44269,tt1587877,5.09,2010-03-24,0,100.0,All That Glitters,6.4,535
3948,6500000,['Comedy'],8491,tt0098627,7.409,1989-07-05,30218387,97.0,Weekend at Bernie's,6.4,486
3949,132000000,"['Family', 'Animation', 'Adventure', 'Comedy']",270946,tt1911658,26.526,2014-11-22,373552094,92.0,Penguins of Madagascar,6.4,2522
3950,78000000,"['Animation', 'Family', 'Comedy']",109451,tt1985966,11.909,2013-09-26,248384621,95.0,Cloudy with a Chance of Meatballs 2,6.4,1911
3951,14350531,"['Action', 'Comedy', 'Science Fiction']",59678,tt1478964,12.737,2011-05-12,3964682,88.0,Attack the Block,6.4,1263
3952,9000000,"['Thriller', 'Action', 'Mystery']",522681,tt5886046,15.179,2019-01-03,155313078,100.0,Escape Room,6.4,2088
3953,0,"['Horror', 'Thriller']",250574,tt2428170,6.241,2014-06-23,0,82.0,Creep,6.4,656
3954,100000000,"['Drama', 'Horror', 'Mystery', 'Thriller']",2655,tt0161081,12.363,2000-07-21,291420351,130.0,What Lies Beneath,6.4,1035
3955,20000000,['Comedy'],593402,tt10413566,9.594,2020-01-01,0,90.0,Tolo Tolo,6.4,527
3956,32000000,['Comedy'],460668,tt6791096,13.834,2018-04-19,51748264,111.0,I Feel Pretty,6.4,1334
3957,8500000,"['Action', 'Crime', 'Drama', 'Thriller']",1619,tt0202677,10.569,2000-09-08,19125401,119.0,The Way of the Gun,6.4,212
3958,80000000,['Comedy'],45243,tt1411697,13.455,2011-05-25,254455986,102.0,The Hangover Part II,6.4,6915
3959,86000000,"['Thriller', 'Crime', 'Mystery']",13483,tt0211933,10.239,2007-11-28,14373825,84.0,Awake,6.4,800
3960,0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",301804,tt3174376,8.383,2016-04-07,3295624,97.0,Before I Wake,6.4,1069
3961,0,"['Comedy', 'Science Fiction']",9317,tt0083109,8.39,1981-12-02,0,98.0,Cabbage Soup,6.4,486
3962,0,"['Comedy', 'Romance']",397,tt0113117,8.999,1995-05-05,0,111.0,French Kiss,6.4,407
3963,0,"['Adventure', 'Drama', 'Thriller']",10847,tt0100054,7.452,1990-03-16,13985225,90.0,Lord of the Flies,6.4,284
3964,0,"['Animation', 'Action']",28609,tt0142235,13.876,1989-07-15,0,45.0,Dragon Ball Z: Dead Zone,6.4,266
3965,600000,"['Comedy', 'Drama']",309304,tt4270516,6.474,2015-06-04,7087452,78.0,Grandma,6.4,228
